# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s
my-server,585,2017-06-15 06:00:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,585,2017-06-15 06:00:01 UTC,eth4,1.18,0.00,0.09,0.00,0.00,0.00,0.00
my-server,585,2017-06-15 06:00:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,585,2017-06-15 06:00:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,585,2017-06-15 06:00:01 UTC,bond0,849.50,1238.62,236.45,977.66,0.00,0.00,0.00
my-server,585,2017-06-15 06:00:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,588,2017-06-15 06:10:01 UTC,lo,126.48,126.48,170.93,170.93,0.00,0.00,0.00
my-server,588,2017-06-15 06:10:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,588,2017-06-15 06:10:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,588,2017-06-15 06:10:01 UTC,eth2,1084.23,3723.72,406.92,4446.59,0.00,0.00,0.00
my-server,588,2017-06-15 06:10:01 UTC,eth3,0.21,0.10,0.01,0.00,0.00,0.00,0.00
my-server,588,2017-06-15 06:10:01 UTC,eth4,1.16,0.00,0.09,0.00,0.00,0.00,0.00
my-server,588,2017-06-15 06:10:01 UTC,eth5,0.21,0.00,0.01,0.00,0.00,0.00,0.00
my-server,588,2017-06-15 06:10:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,588,2017-06-15 06:10:01 UTC,bond0,1085.39,3723.72,407.01,4446.59,0.00,0.00,0.00
my-server,588,2017-06-15 06:10:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 06:20:01 UTC,lo,3.99,3.99,0.68,0.68,0.00,0.00,0.00
my-server,586,2017-06-15 06:20:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 06:20:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 06:20:01 UTC,eth2,830.25,2943.72,209.75,3435.37,0.00,0.00,0.00
my-server,586,2017-06-15 06:20:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 06:20:01 UTC,eth4,1.09,0.00,0.09,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 06:20:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 06:20:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 06:20:01 UTC,bond0,831.34,2943.72,209.84,3435.37,0.00,0.00,0.00
my-server,586,2017-06-15 06:20:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 06:30:01 UTC,lo,36.86,36.86,13.07,13.07,0.00,0.00,0.00
my-server,583,2017-06-15 06:30:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 06:30:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 06:30:01 UTC,eth2,562.95,1096.47,129.11,1071.30,0.00,0.00,0.00
my-server,583,2017-06-15 06:30:01 UTC,eth3,0.21,0.10,0.01,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 06:30:01 UTC,eth4,1.13,0.00,0.09,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 06:30:01 UTC,eth5,0.21,0.00,0.01,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 06:30:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 06:30:01 UTC,bond0,564.08,1096.47,129.20,1071.30,0.00,0.00,0.00
my-server,583,2017-06-15 06:30:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,581,2017-06-15 06:40:01 UTC,lo,4.63,4.63,1.76,1.76,0.00,0.00,0.00
my-server,581,2017-06-15 06:40:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
